question_id,question,stat,dgf,n_params,p-val,ppc-pval
0042,0,4.534528374170643,1,2,0.03321760889601332,0.1505
0055,1,1.6024279401959167,1,3,0.20555947533179478,0.41525
0058,2,8.754720138802671,1,3,0.003088017573589479,0.02725
0149,3,1.4520382179006408,1,1,0.22820118460864697,0.4063333333333333
0244,4,1.3854969168940743,1,3,0.23916703698913638,0.4349166666666667
0289,5,3.1914792938929875,1,3,0.07402299878032098,0.24258333333333335
0305,6,1.3063222897645463,1,1,0.2530616059023232,0.41608333333333336
0329,7,3.2086359352320284,1,3,0.07325052755380257,0.23491666666666666
0331,8,0.08881252501492182,1,3,0.7656922468559484,0.5948333333333333
0336,9,12.05684278889092,1,3,0.000516026123911077,0.006583333333333333
0346,10,0.3023994614670401,1,3,0.5823820695842061,0.5820833333333333
0353,11,0.9442048901939517,1,1,0.3311987924917328,0.47675
0364,12,0.19854577619147412,1,1,0.6558972228956053,0.6219166666666667
0389,13,3.747782557815042,1,3,0.052877616512274246,0.20591666666666666
0523,14,2.2045573082059695,1,3,0.13760339121278764,0.3159166666666667
0525,15,6.632861252527233,1,3,0.010011432378522537,0.06841666666666667
0542,16,0.03143385077833555,1,2,0.859275938718709,0.6374166666666666
0589,17,1.1735647608075617,1,3,0.2786699870242257,0.43975
0865,18,3.4562646950571843,1,2,0.06301251229682843,0.20016666666666666
