,n_items,n_questions,n_dims,l2_reg,beta,max_iter,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
0,100,6256,4,0.01,1.0,350,36043.518525223306,5004,7.202941351963091,9257.914390637427,1252,7.394500312010724,0
1,100,6256,4,0.01,1.0,350,36011.08310965652,5004,7.196459454367811,9318.35005655079,1252,7.44277161066357,1
2,100,6256,4,0.01,1.0,350,36036.97904761681,5004,7.201634501921825,9202.51694132494,1252,7.350253148023115,2
3,100,6256,4,0.01,1.0,350,36327.32771524829,5004,7.259657816796222,9021.579408143554,1252,7.205734351552359,3
4,100,6256,4,0.01,1.0,350,36295.446107755786,5004,7.253286592277336,9059.10068044819,1252,7.23570341888833,4
5,100,6256,4,0.01,0.8,350,36355.157553176396,5004,7.265219335167146,9224.314952447887,1252,7.367663700038248,0
6,100,6256,4,0.01,0.8,350,36242.62917291831,5004,7.2427316492642495,9354.675302315725,1252,7.471785385236203,1
7,100,6256,4,0.01,0.8,350,36300.21190624445,5004,7.254238990056844,9335.454044160893,1252,7.456432942620522,2
8,100,6256,4,0.01,0.8,350,36242.928452699714,5004,7.242791457374044,9411.762594038555,1252,7.517382263609069,3
9,100,6256,4,0.01,0.8,350,36382.61479684337,5004,7.2707063942532715,9225.169221589358,1252,7.368346023633673,4
10,100,6256,4,0.01,0.5,350,37067.0898018979,5004,7.407491966806135,8996.340481905378,1252,7.185575464780653,0
11,100,6256,4,0.01,0.5,350,36907.81984955168,5004,7.375663439159008,9103.424690188756,1252,7.271105982578879,1
12,100,6256,4,0.01,0.5,350,36697.69550470043,5004,7.333672163209519,9319.30339176575,1252,7.443533060515775,2
13,100,6256,4,0.01,0.5,350,36816.281703244036,5004,7.357370444293372,9185.097616511715,1252,7.336339949290507,3
14,100,6256,4,0.01,0.5,350,36696.97588177416,5004,7.333528353671895,9388.781194704348,1252,7.499026513342131,4
15,100,6256,4,0.01,0.1,350,36623.069131966215,5004,7.318758819337773,9559.508273176007,1252,7.635389994549526,0
16,100,6256,4,0.01,0.1,350,37142.91564586631,5004,7.422645013162732,9020.892056822819,1252,7.205185348900015,1
17,100,6256,4,0.01,0.1,350,36968.84740306878,5004,7.387859193259149,9206.542502850347,1252,7.353468452755868,2
18,100,6256,4,0.01,0.1,350,36614.70590167104,5004,7.317087510325948,9534.409247798896,1252,7.61534284967963,3
19,100,6256,4,0.01,0.1,350,36930.12671977993,5004,7.38012124695842,9220.7272082948,1252,7.364798089692332,4
20,100,6256,4,0.05,1.0,350,37217.34240290109,5004,7.437518465807573,8988.629329088408,1252,7.179416397035469,0
21,100,6256,4,0.05,1.0,350,36877.13001141511,5004,7.369530377980637,9306.96901365337,1252,7.433681320809401,1
22,100,6256,4,0.05,1.0,350,36921.6951758039,5004,7.378436286131874,9242.37889985079,1252,7.382091773043761,2
23,100,6256,4,0.05,1.0,350,36580.40277334186,5004,7.310232368773354,9548.81915412828,1252,7.62685235952738,3
24,100,6256,4,0.05,1.0,350,37012.51998401349,5004,7.396586727420761,9229.855092577036,1252,7.372088732090284,4
25,100,6256,4,0.05,0.8,350,36765.18427500097,5004,7.347159127698035,9459.969000304098,1252,7.555885782990494,0
26,100,6256,4,0.05,0.8,350,36620.79074328381,5004,7.3183035058520804,9542.934664794459,1252,7.622152288174488,1
27,100,6256,4,0.05,0.8,350,36929.423540338306,5004,7.37998072348887,9227.938628180913,1252,7.370558009729164,2
28,100,6256,4,0.05,0.8,350,36941.66468725821,5004,7.382426995854959,9198.803734107629,1252,7.347287327562004,3
29,100,6256,4,0.05,0.8,350,37167.062618379794,5004,7.427470547238168,9064.413315404136,1252,7.23994673754324,4
30,100,6256,4,0.05,0.5,350,36866.831802068744,5004,7.367472382507742,9286.780460832599,1252,7.417556278620286,0
