,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
0,20,8000,3,0.01,32443.384185772946,6400,5.069278779027023,8582.538569169194,1600,5.364086605730746,5,0
1,20,7997,3,0.01,90815.69686438829,6397,14.196607294730075,22319.777439938975,1600,13.949860899961859,5,1
2,20,8000,3,0.01,29896.697699278404,6400,4.671359015512251,7665.493038531276,1600,4.790933149082048,5,2
3,20,8000,3,0.01,49977.87837912139,6400,7.809043496737717,12269.469664454873,1600,7.6684185402842955,5,3
4,20,8000,3,0.01,53804.5891010758,6400,8.406967047043093,13217.349581661221,1600,8.260843488538264,5,4
5,20,8000,3,0.1,44255.143893661276,6400,6.914866233384575,11406.68675987553,1600,7.129179224922207,5,0
6,20,8000,3,0.1,40757.038502765,6400,6.368287266057031,10461.035222917651,1600,6.538147014323532,5,1
7,20,8000,3,0.1,45256.90263777839,6400,7.071391037152873,11598.393342944863,1600,7.248995839340539,5,2
8,20,8000,3,0.1,42216.39063390763,6400,6.596311036548067,10776.470621997158,1600,6.735294138748223,5,3
9,20,8000,3,0.1,43651.05326930953,6400,6.820477073329614,10829.776469591612,1600,6.768610293494757,5,4
10,20,8000,5,0.01,36427.93286049911,6400,5.691864509452986,9349.817765838972,1600,5.843636103649358,5,0
11,20,8000,5,0.01,28796.61777038751,6400,4.499471526623049,7002.127901310504,1600,4.376329938319065,5,1
12,20,7999,5,0.01,46187.02023049635,6399,7.217849700030685,12151.522834573721,1600,7.594701771608576,5,2
13,20,8000,5,0.01,37754.772908781684,6400,5.899183266997138,9369.471259020427,1600,5.855919536887767,5,3
14,20,8000,5,0.01,26325.785082765742,6400,4.113403919182147,6351.731315731744,1600,3.96983207233234,5,4
15,20,8000,5,0.1,40367.462851738645,6400,6.307416070584163,10273.349576398057,1600,6.420843485248786,5,0
16,20,7999,5,0.1,49475.43143865849,6399,7.731744247329034,12111.836932039816,1600,7.569898082524885,5,1
17,20,8000,5,0.1,28525.472825935798,6400,4.457105129052469,7110.984385381759,1600,4.4443652408636,5,2
18,20,8000,5,0.1,25347.210174053125,6400,3.960501589695801,6711.640436904069,1600,4.194775273065043,5,3
19,20,7998,5,0.1,34146.199743381476,6398,5.337011526005233,9117.172649373146,1600,5.698232905858216,5,4
20,20,8000,7,0.01,39601.127603688125,6400,6.18767618807627,10582.907407775923,1600,6.614317129859952,5,0
21,20,7999,7,0.01,49889.24467133575,6399,7.796412669375801,12443.426269016489,1600,7.777141418135305,5,1
22,20,8000,7,0.01,32139.161138338757,6400,5.021743927865431,8423.403342653146,1600,5.264627089158216,5,2
23,20,8000,7,0.01,32302.897689128382,6400,5.04732776392631,8549.835070872641,1600,5.3436469192954,5,3
24,20,8000,7,0.01,29332.07331404377,6400,4.583136455319339,7795.080688603987,1600,4.871925430377492,5,4
25,20,8000,7,0.1,38887.81560966077,6400,6.0762211890094955,9829.385191663912,1600,6.1433657447899455,5,0
26,20,8000,7,0.1,25471.77195379538,6400,3.9799643677805285,6210.758979784869,1600,3.881724362365543,5,1
27,20,7997,7,0.1,46071.08975562714,6397,7.201983704178073,11561.21123589079,1600,7.225757022431744,5,2
28,20,8000,7,0.1,26977.588355623277,6400,4.215248180566137,6963.575214150555,1600,4.352234508844097,5,3
29,20,8000,7,0.1,31003.869687778468,6400,4.8443546387153855,8145.951241698632,1600,5.091219526061645,5,4
