,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
0,20,8000,3,0.01,68459.52924183237,6400,10.696801444036307,16356.375768680899,1600,10.222734855425562,5,0
1,20,8000,3,0.01,65522.73765047488,6400,10.2379277578867,17167.705990889255,1600,10.729816244305784,5,1
2,20,8000,3,0.01,61614.47680316727,6400,9.627262000494886,15450.018610658133,1600,9.656261631661334,5,2
3,20,8000,3,0.01,74227.14899465136,6400,11.597992030414275,19008.647410929305,1600,11.880404631830816,5,3
4,20,8000,3,0.01,69381.5080438162,6400,10.840860631846281,19221.304754556186,1600,12.013315471597616,5,4
5,20,8000,3,0.1,67487.7867320912,6400,10.544966676889251,16175.443551952765,1600,10.109652219970478,5,0
6,20,8000,3,0.1,63986.17310332606,6400,9.997839547394697,15800.68405238655,1600,9.875427532741593,5,1
7,20,8000,3,0.1,67307.94651564183,6400,10.516866643069037,16455.084827557588,1600,10.284428017223492,5,2
8,20,8000,3,0.1,67772.83319463782,6400,10.589505186662159,17298.634898672568,1600,10.811646811670355,5,3
9,20,8000,3,0.1,63283.94444710414,6400,9.888116319860023,16060.400668842869,1600,10.037750418026793,5,4
10,20,8000,5,0.01,44287.13845117506,6400,6.919865382996103,10823.71735494628,1600,6.764823346841426,5,0
11,20,8000,5,0.01,40206.96975767731,6400,6.282339024637079,10107.916793985387,1600,6.317447996240867,5,1
12,20,8000,5,0.01,42980.03888738248,6400,6.715631076153512,11281.4451041551,1600,7.050903190096937,5,2
13,20,8000,5,0.01,38747.10159505299,6400,6.05423462422703,9722.24317753661,1600,6.076401985960381,5,3
14,20,8000,5,0.01,35484.40926383882,6400,5.5444389474748155,8939.852132431146,1600,5.587407582769466,5,4
15,20,8000,5,0.1,34449.40557928337,6400,5.382719621763027,8689.133643166655,1600,5.430708526979159,5,0
16,20,8000,5,0.1,40484.32273628796,6400,6.3256754275449945,9980.349281007171,1600,6.237718300629482,5,1
17,20,8000,5,0.1,40056.3059789121,6400,6.258797809205016,9820.571778052736,1600,6.1378573612829594,5,2
18,20,8000,5,0.1,40909.403730072794,6400,6.392094332823874,10490.646292264333,1600,6.556653932665208,5,3
19,20,8000,5,0.1,38179.979090616296,6400,5.965621732908796,10200.272014093483,1600,6.3751700088084275,5,4
20,20,8000,7,0.01,30087.23966799333,6400,4.701131198123957,7539.552152062879,1600,4.712220095039299,5,0
21,20,8000,7,0.01,35135.08222289596,6400,5.489856597327494,8899.942848845507,1600,5.562464280528442,5,1
22,20,8000,7,0.01,30419.691020414422,6400,4.753076721939753,7532.679886220979,1600,4.7079249288881115,5,2
23,20,8000,7,0.01,32508.019907391103,6400,5.07937811052986,8224.297430743078,1600,5.140185894214423,5,3
24,20,8000,7,0.01,34590.94221665662,6400,5.404834721352597,9271.778113885333,1600,5.794861321178334,5,4
25,20,8000,7,0.1,31815.86816849183,6400,4.971229401326848,8218.081077867779,1600,5.136300673667361,5,0
26,20,8000,7,0.1,33128.1320733022,6400,5.176270636453469,8310.392083646419,1600,5.1939950522790115,5,1
27,20,8000,7,0.1,32024.433722154852,6400,5.003817769086695,8025.476278611093,1600,5.015922674131933,5,2
28,20,8000,7,0.1,35993.761834019184,6400,5.624025286565497,9408.226488399534,1600,5.8801415552497085,5,3
29,20,8000,7,0.1,31710.529728036418,6400,4.954770270005691,7933.186445032212,1600,4.958241528145132,5,4
