,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt,run
0,20,8000,3,0.01,34006.92242182296,6400,5.313581628409837,7943.22447846695,1600,4.964515299041844,5,0
1,20,8000,3,0.01,40767.838503207095,6400,6.369974766126108,10945.42683559035,1600,6.840891772243968,5,1
2,20,8000,3,0.01,29585.91148897376,6400,4.62279867015215,8155.658609341207,1600,5.097286630838254,5,2
3,20,8000,3,0.01,40001.37328505389,6400,6.25021457578967,10514.445774906228,1600,6.571528609316392,5,3
4,20,8000,3,0.01,31351.308305518527,6400,4.89864192273727,8175.976454214618,1600,5.109985283884136,5,4
5,20,8000,3,0.1,31717.83402906488,6400,4.955911567041388,7787.509403216757,1600,4.867193377010473,5,0
6,20,8000,3,0.1,34627.05639338351,6400,5.410477561466173,8604.961813525915,1600,5.378101133453697,5,1
7,20,8000,3,0.1,38691.02256095569,6400,6.045472275149326,9354.282732870539,1600,5.846426708044087,5,2
8,20,8000,3,0.1,35431.44099213541,6400,5.536162655021157,8539.614092954911,1600,5.337258808096819,5,3
9,20,8000,3,0.1,36168.57508205789,6400,5.651339856571545,9073.335863388578,1600,5.670834914617862,5,4
10,20,8000,5,0.01,12033.284767775258,6400,1.880200744964884,3046.4802019114572,1600,1.9040501261946607,5,0
11,20,8000,5,0.01,12573.309261467095,6400,1.9645795721042336,3344.6849736810173,1600,2.0904281085506358,5,1
12,20,8000,5,0.01,12264.511628585447,6400,1.916329941966476,3392.8244074103495,1600,2.1205152546314685,5,2
13,20,8000,5,0.01,12277.956550338055,6400,1.918430710990321,2960.833008474184,1600,1.850520630296365,5,3
14,20,8000,5,0.01,12155.159195273352,6400,1.8992436242614614,3291.0445912928108,1600,2.056902869558007,5,4
15,20,8000,5,0.1,13578.079597598758,6400,2.121574937124806,3318.6161828260574,1600,2.074135114266286,5,0
16,20,8000,5,0.1,14374.230472012685,6400,2.245973511251982,3607.7777504274713,1600,2.2548610940171696,5,1
17,20,8000,5,0.1,13972.201592809293,6400,2.183156498876452,3457.1201591721706,1600,2.1607000994826064,5,2
18,20,8000,5,0.1,13577.268619375971,6400,2.1214482217774955,3559.2019419378307,1600,2.2245012137111444,5,3
19,20,8000,5,0.1,13725.11637778083,6400,2.1445494340282547,3634.881264814215,1600,2.2718007905088844,5,4
20,20,8000,7,0.01,12942.065107083472,6400,2.0221976729817923,3114.6691816766493,1600,1.9466682385479057,5,0
21,20,8000,7,0.01,12843.025430272603,6400,2.006722723480094,3215.188482905634,1600,2.0094928018160214,5,1
22,20,8000,7,0.01,13116.013603557525,6400,2.0493771255558633,3200.3265844582706,1600,2.000204115286419,5,2
23,20,8000,7,0.01,13081.601636009354,6400,2.044000255626462,3293.558379753809,1600,2.0584739873461304,5,3
24,20,8000,7,0.01,12653.135660812099,6400,1.9770524470018904,3197.2014800100274,1600,1.998250925006267,5,4
25,20,8000,7,0.1,13666.75610474956,6400,2.135430641367119,3479.5726488296186,1600,2.174732905518512,5,0
26,20,8000,7,0.1,13310.059449765173,6400,2.0796967890258085,3389.3711298076123,1600,2.1183569561297575,5,1
27,20,8000,7,0.1,13289.049017189087,6400,2.0764139089357947,3270.1844783665165,1600,2.043865298979073,5,2
28,20,8000,7,0.1,13707.186949270417,6400,2.1417479608235026,3652.8557321885914,1600,2.2830348326178695,5,3
29,20,8000,7,0.1,12901.727785803907,6400,2.0158949665318606,3242.744905436839,1600,2.0267155658980243,5,4
