,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
0,100,500,2,0.01,2023.669534626914,400,5.059173836567285,889.3609021590391,100,8.893609021590391,0
1,100,500,2,0.01,2104.588552518374,400,5.261471381295935,1061.4446751301002,100,10.614446751301003,1
2,100,500,2,0.01,1616.820112027843,400,4.042050280069607,717.1076735482089,100,7.17107673548209,2
3,100,500,2,0.01,2509.0458624497264,400,6.272614656124316,956.2745779290992,100,9.562745779290992,3
4,100,500,2,0.01,2055.298161738498,400,5.138245404346245,1117.4247638275194,100,11.174247638275194,4
5,100,500,3,0.01,1334.4658427760387,400,3.3361646069400965,762.7387480008107,100,7.627387480008107,0
6,100,500,3,0.01,1206.3179635016106,400,3.0157949087540263,590.7584756043212,100,5.907584756043212,1
7,100,500,3,0.01,1327.3803646056228,400,3.318450911514057,750.0489112567192,100,7.500489112567192,2
8,100,500,3,0.01,1193.613332282652,400,2.98403333070663,745.1297625018846,100,7.451297625018846,3
9,100,500,3,0.01,1072.762943357466,400,2.681907358393665,625.5478103690722,100,6.255478103690722,4
10,100,500,4,0.01,967.592140913443,400,2.4189803522836075,400.612434880363,100,4.00612434880363,0
11,100,500,4,0.01,830.7444180783712,400,2.076861045195928,603.342512892109,100,6.03342512892109,1
12,100,500,4,0.01,924.7609989797259,400,2.3119024974493145,548.0936235320461,100,5.480936235320461,2
13,100,500,4,0.01,1002.9418710995039,400,2.5073546777487596,626.2671120709871,100,6.262671120709871,3
14,100,500,4,0.01,956.1259400997988,400,2.390314850249497,754.6232198770105,100,7.546232198770104,4
15,100,500,5,0.01,811.3978217721777,400,2.0284945544304445,501.80337778794274,100,5.0180337778794275,0
16,100,500,5,0.01,791.5517193432476,400,1.978879298358119,657.1448144571816,100,6.571448144571816,1
17,100,500,5,0.01,774.9507487480685,400,1.9373768718701712,521.8658758797325,100,5.218658758797325,2
18,100,500,5,0.01,818.7194854219485,400,2.0467987135548715,524.9118458806847,100,5.249118458806847,3
19,100,500,5,0.01,837.5023751310358,400,2.0937559378275896,439.8571632865807,100,4.398571632865807,4
